sensors/logging_button,2015-03-21 02:49:18,START
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.5,-3.63,-3.86
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.5,-3.61,-3.86
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.53,-3.6,-3.86
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.55,-3.6,-3.87
sensors/encoder,2015-03-21 02:49:18,0.0,0.0
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.58,-3.59,-3.87
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.58,-3.6,-3.87
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.59,-3.58,-3.87
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.58,-3.58,-3.86
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.59,-3.56,-3.86
sensors/encoder,2015-03-21 02:49:18,0.0,0.0
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.61,-3.56,-3.86
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.6,-3.56,-3.86
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.61,-3.57,-3.87
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.62,-3.58,-3.86
sensors/encoder,2015-03-21 02:49:18,0.0,0.0
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.62,-3.59,-3.85
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.64,-3.59,-3.85
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.66,-3.59,-3.86
sensors/imu,2015-03-21 02:49:18,0.0,0.0,0.0,0.0,0.0,0.0,-102.67,-3.59,-3.87
