sensors/logging_button,2015-04-05 02:39:33.832,START
sensors/imu,2015-04-05 02:39:33.835,0.0,0.0,0.0,0.0,0.0,0.0,99.43,-7.92,-3.66
sensors/imu,2015-04-05 02:39:33.851,0.0,0.0,0.0,0.0,0.0,0.0,99.44,-7.92,-3.65
sensors/steering,2015-04-05 02:39:33.858,2.0
sensors/brake,2015-04-05 02:39:33.858,'brakeV0.1',false

sensors/steering,2015-04-05 02:39:33.874,2.0
sensors/imu,2015-04-05 02:39:33.884,0.0,0.0,0.0,0.0,0.0,0.0,99.44,-7.92,-3.64
sensors/encoder,2015-04-05 02:39:33.885,0.0,0.08714285714285715,0.0,0.0
sensors/brake,2015-04-05 02:39:33.890,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:33.900,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.9,-3.65
sensors/steering,2015-04-05 02:39:33.907,2.0
sensors/imu,2015-04-05 02:39:33.916,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.91,-3.64
sensors/brake,2015-04-05 02:39:33.923,'brakeV0.1',false

sensors/steering,2015-04-05 02:39:33.940,2.0
sensors/imu,2015-04-05 02:39:33.948,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.93,-3.64
sensors/brake,2015-04-05 02:39:33.956,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:33.964,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.91,-3.64
sensors/steering,2015-04-05 02:39:33.972,2.0
sensors/imu,2015-04-05 02:39:33.980,0.0,0.0,0.0,0.0,0.0,0.0,99.49,-7.92,-3.65
sensors/encoder,2015-04-05 02:39:33.989,0.0,0.08714285714285715,0.0,0.0
sensors/brake,2015-04-05 02:39:33.989,'brakeV0.1',false

sensors/steering,2015-04-05 02:39:34.005,2.0
sensors/imu,2015-04-05 02:39:34.013,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.94,-3.64
sensors/brake,2015-04-05 02:39:34.021,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.029,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.9,-3.63
sensors/steering,2015-04-05 02:39:34.038,2.0
sensors/imu,2015-04-05 02:39:34.046,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.92,-3.62
sensors/brake,2015-04-05 02:39:34.054,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.062,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.91,-3.61
sensors/steering,2015-04-05 02:39:34.070,2.0
sensors/encoder,2015-04-05 02:39:34.083,0.0,0.08714285714285715,0.0,0.0
sensors/brake,2015-04-05 02:39:34.087,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.096,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.91,-3.63
sensors/steering,2015-04-05 02:39:34.104,2.0
sensors/imu,2015-04-05 02:39:34.113,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.92,-3.62
sensors/brake,2015-04-05 02:39:34.120,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.129,0.0,0.0,0.0,0.0,0.0,0.0,99.46,-7.92,-3.62
sensors/steering,2015-04-05 02:39:34.136,2.0
sensors/brake,2015-04-05 02:39:34.136,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.162,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.94,-3.65
sensors/steering,2015-04-05 02:39:34.168,2.0
sensors/brake,2015-04-05 02:39:34.168,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.178,0.0,0.0,0.0,0.0,0.0,0.0,99.49,-7.92,-3.64
sensors/encoder,2015-04-05 02:39:34.189,0.0,0.08714285714285715,0.0,0.0
sensors/imu,2015-04-05 02:39:34.195,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.9,-3.64
sensors/steering,2015-04-05 02:39:34.201,2.0
sensors/brake,2015-04-05 02:39:34.201,'brakeV0.1',false

sensors/steering,2015-04-05 02:39:34.217,2.0
sensors/imu,2015-04-05 02:39:34.232,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.89,-3.63
sensors/imu,2015-04-05 02:39:34.232,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.9,-3.63
sensors/brake,2015-04-05 02:39:34.234,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.248,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.91,-3.64
sensors/steering,2015-04-05 02:39:34.250,2.0
sensors/imu,2015-04-05 02:39:34.264,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.91,-3.64
sensors/brake,2015-04-05 02:39:34.266,'brakeV0.1',false

sensors/encoder,2015-04-05 02:39:34.278,0.0,0.08714285714285715,0.0,0.0
sensors/steering,2015-04-05 02:39:34.282,2.0
sensors/imu,2015-04-05 02:39:34.297,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.92,-3.65
sensors/brake,2015-04-05 02:39:34.299,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.313,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.91,-3.63
sensors/steering,2015-04-05 02:39:34.315,2.0
sensors/imu,2015-04-05 02:39:34.330,0.0,0.0,0.0,0.0,0.0,0.0,99.46,-7.91,-3.63
sensors/brake,2015-04-05 02:39:34.331,'brakeV0.1',false

sensors/steering,2015-04-05 02:39:34.348,2.0
sensors/imu,2015-04-05 02:39:34.364,0.0,0.0,0.0,0.0,0.0,0.0,99.45,-7.91,-3.63
sensors/brake,2015-04-05 02:39:34.364,'brakeV0.1',false

sensors/steering,2015-04-05 02:39:34.380,2.0
sensors/imu,2015-04-05 02:39:34.380,0.0,0.0,0.0,0.0,0.0,0.0,99.45,-7.9,-3.62
sensors/encoder,2015-04-05 02:39:34.383,0.0,0.08714285714285715,0.0,0.0
sensors/imu,2015-04-05 02:39:34.396,0.0,0.0,0.0,0.0,0.0,0.0,99.45,-7.9,-3.62
sensors/brake,2015-04-05 02:39:34.396,'brakeV0.1',false

sensors/steering,2015-04-05 02:39:34.412,2.0
sensors/brake,2015-04-05 02:39:34.428,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.440,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.9,-3.63
sensors/imu,2015-04-05 02:39:34.440,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.9,-3.63
sensors/steering,2015-04-05 02:39:34.445,2.0
sensors/imu,2015-04-05 02:39:34.457,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.91,-3.6
sensors/brake,2015-04-05 02:39:34.462,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.473,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.9,-3.59
sensors/steering,2015-04-05 02:39:34.478,2.0
sensors/encoder,2015-04-05 02:39:34.488,0.0,0.08714285714285715,0.0,0.0
sensors/brake,2015-04-05 02:39:34.494,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.505,0.0,0.0,0.0,0.0,0.0,0.0,99.46,-7.9,-3.59
sensors/steering,2015-04-05 02:39:34.511,2.0
sensors/imu,2015-04-05 02:39:34.522,0.0,0.0,0.0,0.0,0.0,0.0,99.46,-7.9,-3.6
sensors/brake,2015-04-05 02:39:34.527,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.538,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.91,-3.61
sensors/steering,2015-04-05 02:39:34.543,2.0
sensors/brake,2015-04-05 02:39:34.543,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.570,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.91,-3.61
sensors/steering,2015-04-05 02:39:34.575,2.0
sensors/brake,2015-04-05 02:39:34.575,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.586,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.93,-3.61
sensors/encoder,2015-04-05 02:39:34.593,0.0,0.08714285714285715,0.0,0.0
sensors/imu,2015-04-05 02:39:34.602,0.0,0.0,0.0,0.0,0.0,0.0,99.47,-7.93,-3.6
sensors/steering,2015-04-05 02:39:34.607,2.0
sensors/brake,2015-04-05 02:39:34.607,'brakeV0.1',false

sensors/steering,2015-04-05 02:39:34.623,2.0
sensors/brake,2015-04-05 02:39:34.639,'brakeV0.1',false

sensors/imu,2015-04-05 02:39:34.648,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.91,-3.59
sensors/imu,2015-04-05 02:39:34.648,0.0,0.0,0.0,0.0,0.0,0.0,99.48,-7.92,-3.57
sensors/steering,2015-04-05 02:39:34.656,2.0
sensors/imu,2015-04-05 02:39:34.665,0.0,0.0,0.0,0.0,0.0,0.0,99.53,-7.92,-3.56
sensors/brake,2015-04-05 02:39:34.672,'brakeV0.1',false

sensors/encoder,2015-04-05 02:39:34.683,0.0,0.08714285714285715,0.0,0.0
sensors/steering,2015-04-05 02:39:34.688,2.0
