sensors/logging_button,2015-03-21 07:12:46,START
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.48,-3.54
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.49,-3.54
sensors/encoder,2015-03-21 07:12:47,0.41602822102425874,44098.991428571426
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.49,-3.55
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.48,-3.55
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.49,-3.56
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.49,-3.55
sensors/encoder,2015-03-21 07:12:47,0.5148957308970099,44281.032857142854
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.5,-3.56
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.49,-3.55
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.48,-3.56
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.47,-3.55
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.48,-3.55
sensors/encoder,2015-03-21 07:12:47,0.38330236453201966,44463.07428571428
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.5,-3.56
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.48,-3.55
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.58,-2.48,-3.56
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.49,-3.55
sensors/encoder,2015-03-21 07:12:47,0.5073308603896104,44645.11571428572
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.49,-3.55
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.5,-3.57
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.5,-3.56
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.49,-3.58
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.49,-3.56
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.5,-3.57
sensors/encoder,2015-03-21 07:12:47,0.4394819327731092,44827.15714285714
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.51,-3.55
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.53,-3.53
sensors/imu,2015-03-21 07:12:47,0.0,0.0,0.0,0.0,0.0,0.0,106.63,-2.52,-3.53
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.63,-2.52,-3.53
sensors/encoder,2015-03-21 07:12:48,0.44126665266106446,45009.19857142858
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.49,-3.54
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.48,-3.55
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.5,-3.54
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.5,-3.55
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.63,-2.5,-3.54
sensors/encoder,2015-03-21 07:12:48,0.44743801980198017,45191.24
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.48,-3.55
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.47,-3.55
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.5,-3.56
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-2.52,-3.56
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.54,-3.59
sensors/encoder,2015-03-21 07:12:48,0.4776134887218045,45373.28142857143
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.63,-2.48,-3.61
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.62,-2.52,-3.58
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.58,-2.47,-3.55
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.57,-2.46,-3.54
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.57,-2.48,-3.53
sensors/encoder,2015-03-21 07:12:48,0.44662081232492995,45555.322857142855
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.58,-2.52,-3.51
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.58,-2.52,-3.51
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.52,-3.51
sensors/gps,2015-03-21 07:12:48,2015-03-21 11:13:22,40.43347110833558,N,8.585143294466867,W,1,7,1.15,375.9
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.48,-3.53
sensors/imu,2015-03-21 07:12:48,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.49,-3.54
sensors/encoder,2015-03-21 07:12:48,0.4397823489010989,45737.364285714284
